
100 7e-06
600 0.000151
1100 0.000385
1600 0.000851
2100 0.001432
2600 0.00228
3100 0.002791
3600 0.003767
4100 0.004826
4600 0.006021
5100 0.007655
5600 0.009087
6100 0.01192
6600 0.017604
7100 0.015525
7600 0.016969
8100 0.02957
8600 0.023207
9100 0.028326
9600 0.028867
10100 0.038229
10600 0.04031
11100 0.046882
11600 0.043359
12100 0.046926
12600 0.047026
13100 0.05957
13600 0.057321
14100 0.060977
14600 0.064002
15100 0.072701
15600 0.085585
16100 0.08108
16600 0.08766
17100 0.096678
17600 0.108063
18100 0.111115
18600 0.125158
19100 0.117016
19600 0.127454
20100 0.120185
20600 0.143632
21100 0.138505
21600 0.162454
22100 0.17478
22600 0.160571
23100 0.182376
23600 0.185787
24100 0.185729
24600 0.198031
25100 0.207744
25600 0.217034
26100 0.219263
26600 0.219483
27100 0.230024
27600 0.253877
28100 0.241231
28600 0.253845
29100 0.292547
29600 0.263626
