
1000 0.000293
2000 0.001143
3000 0.002709
4000 0.004633
5000 0.007552
6000 0.010223
7000 0.01568
8000 0.024128
9000 0.024909
10000 0.031189
11000 0.0413
12000 0.051371
13000 0.059955
14000 0.069904
15000 0.066062
16000 0.093825
17000 0.107635
18000 0.096435
19000 0.126777
20000 0.135908
21000 0.137518
22000 0.163279
23000 0.165659
24000 0.193714
25000 0.205021
26000 0.225137
27000 0.252945
28000 0.255864
29000 0.28227
30000 0.288075
31000 0.30648
32000 0.331122
33000 0.375792
34000 0.399475
35000 0.396093
36000 0.416573
37000 0.453678
38000 0.46311
39000 0.500251
40000 0.513565
41000 0.548595
42000 0.570554
43000 0.598567
44000 0.619072
45000 0.689261
46000 0.702174
47000 0.744842
48000 0.748436
49000 0.805571
